"","wav_filename","segments_filename","relabels_filename","listenerID","listen_pass","babyID","babyAge"
"1","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_blky_3.csv","blky","3","0340",91
"2","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_blky_1.csv","blky","1","0196",272
"3","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_blky_1.csv","blky","1","0300",187
"4","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_blky_3.csv","blky","3","0274",81
"5","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_blky_1.csv","blky","1","0054",183
"6","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_blky_3.csv","blky","3","0833",551
"7","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_blky_1.csv","blky","1","0204",189
"8","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_blky_3.csv","blky","3","0857",91
"9","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0300",187
"10","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0196",272
"11","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0857",91
"12","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_cvai_1.csv","cvai","1","0344",283
"13","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0054",183
"14","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_cvai_1.csv","cvai","1","0833",551
"15","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0437",548
"16","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0274",81
"17","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0204",189
"18","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_cvai_1.csv","cvai","1","0340",91
"19","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_ejkq_1.csv","ejkq","1","0857",91
"20","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_eoce_1.csv","eoce","1","0344",283
"21","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0300",187
"22","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_eoce_1.csv","eoce","1","0833",551
"23","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0340",91
"24","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0274",81
"25","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0204",189
"26","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0437",548
"27","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0054",183
"28","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0857",91
"29","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_eoce_1.csv","eoce","1","0196",272
"30","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0340",91
"31","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0204",189
"32","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_jkwa_1.csv","jkwa","1","0833",551
"33","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0054",183
"34","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0196",272
"35","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0437",548
"36","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0274",81
"37","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_jkwa_1.csv","jkwa","1","0344",283
"38","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0300",187
"39","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_jkwa_1.csv","jkwa","1","0857",91
"40","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_jvfs_1.csv","jvfs","1","0300",187
"41","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_jvfs_1.csv","jvfs","1","0833",551
"42","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_jvfs_1.csv","jvfs","1","0054",183
"43","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_jvfs_1.csv","jvfs","1","0857",91
